20231024 16:41:48 INFO  [main] log4testng.Logger Logger.java112 - [TestNG] Running:
  C:\Ambuj_Study_QA\eNexusGlobal_WS\RestAssuredMarketingAPIFramework\suites\restassuredapitest.xml

20231024 16:41:49 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:41:49 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java39 - LoginAPITC2 Execution started
20231024 16:41:51 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java25 - Test 'LoginAPITC2' FAILED
20231024 16:41:52 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:41:53 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java146 - createUserTC6 Execution started
20231024 16:41:54 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java25 - Test 'createUserTC6' FAILED
20231024 16:41:54 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:41:54 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java686 - deleteUserByIDTC24 Execution started
20231024 16:41:55 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java702 - deleteUserByIDTC24 Execution ended
20231024 16:41:55 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'deleteUserByIDTC24' PASSED
20231024 16:41:55 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:41:55 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java242 - getAllUerTC9 Execution started
20231024 16:41:57 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java269 - getAllUerTC9 Execution ended
20231024 16:41:57 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'getAllUerTC9' PASSED
20231024 16:41:57 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:41:57 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java119 - invalidSeverAddressNameTC5 Execution started
20231024 16:41:57 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java135 - invalidSeverAddressNameTC5 Execution ended
20231024 16:41:57 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'invalidSeverAddressNameTC5' PASSED
20231024 16:41:57 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:41:57 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java544 - updateUserEmailAPITC19 Execution started
20231024 16:41:58 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java547 - updateUserEmailAPITC19 Execution started
20231024 16:41:59 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java564 - updateUserEmailAPITC19 Execution ended
20231024 16:41:59 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'updateUserEmailAPITC19' PASSED
20231024 16:41:59 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:41:59 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java573 - updateUserLocationAPITC20 Execution started
20231024 16:42:00 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java593 - updateUserLocationAPITC20 Execution ended
20231024 16:42:00 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'updateUserLocationAPITC20' PASSED
20231024 16:42:00 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:00 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java629 - updateUserNameAndEmailAPITC22 Execution started
20231024 16:42:01 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java649 - updateUserNameAndEmailAPITC22 Execution ended
20231024 16:42:01 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'updateUserNameAndEmailAPITC22' PASSED
20231024 16:42:01 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:01 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java174 - createUserTC7 Execution started
20231024 16:42:02 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java199 - createUserTC7 Execution ended
20231024 16:42:02 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'createUserTC7' PASSED
